"Label (Grouping)","Carroll County, Maryland!!Total!!Estimate","Carroll County, Maryland!!Percent!!Estimate","Carroll County, Maryland!!Male!!Estimate","Carroll County, Maryland!!Percent Male!!Estimate","Carroll County, Maryland!!Female!!Estimate","Carroll County, Maryland!!Percent Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 18 to 24 years","14,844","(X)","7,968","(X)","6,876","(X)"
"        Less than high school graduate","806","5.4%","587","7.4%","219","3.2%"
"        High school graduate (includes equivalency)","4,712","31.7%","2,734","34.3%","1,978","28.8%"
"        Some college or associate's degree","6,598","44.4%","3,423","43.0%","3,175","46.2%"
"        Bachelor's degree or higher","2,728","18.4%","1,224","15.4%","1,504","21.9%"
"    Population 25 years and over","117,243","(X)","56,443","(X)","60,800","(X)"
"        Less than 9th grade","1,654","1.4%","901","1.6%","753","1.2%"
"        9th to 12th grade, no diploma","4,467","3.8%","2,513","4.5%","1,954","3.2%"
"        High school graduate (includes equivalency)","33,395","28.5%","17,154","30.4%","16,241","26.7%"
"        Some college, no degree","22,198","18.9%","10,486","18.6%","11,712","19.3%"
"        Associate's degree","11,920","10.2%","4,614","8.2%","7,306","12.0%"
"        Bachelor's degree","25,330","21.6%","12,204","21.6%","13,126","21.6%"
"        Graduate or professional degree","18,279","15.6%","8,571","15.2%","9,708","16.0%"
"        High school graduate or higher","111,122","94.8%","53,029","94.0%","58,093","95.5%"
"        Bachelor's degree or higher","43,609","37.2%","20,775","36.8%","22,834","37.6%"
"    Population 25 to 34 years","18,775","(X)","9,690","(X)","9,085","(X)"
"        High school graduate or higher","18,165","96.8%","9,142","94.3%","9,023","99.3%"
"        Bachelor's degree or higher","6,952","37.0%","3,285","33.9%","3,667","40.4%"
"    Population 35 to 44 years","19,097","(X)","9,512","(X)","9,585","(X)"
"        High school graduate or higher","18,577","97.3%","9,138","96.1%","9,439","98.5%"
"        Bachelor's degree or higher","10,530","55.1%","4,756","50.0%","5,774","60.2%"
"    Population 45 to 64 years","50,193","(X)","24,119","(X)","26,074","(X)"
"        High school graduate or higher","48,135","95.9%","22,940","95.1%","25,195","96.6%"
"        Bachelor's degree or higher","17,966","35.8%","8,290","34.4%","9,676","37.1%"
"    Population 65 years and over","29,178","(X)","13,122","(X)","16,056","(X)"
"        High school graduate or higher","26,245","89.9%","11,809","90.0%","14,436","89.9%"
"        Bachelor's degree or higher","8,161","28.0%","4,444","33.9%","3,717","23.2%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","",""
"    White alone","109,129","(X)","52,586","(X)","56,543","(X)"
"        High school graduate or higher","103,591","94.9%","49,593","94.3%","53,998","95.5%"
"        Bachelor's degree or higher","40,306","36.9%","19,626","37.3%","20,680","36.6%"
"    White alone, not Hispanic or Latino","106,511","(X)","51,424","(X)","55,087","(X)"
"        High school graduate or higher","101,149","95.0%","48,542","94.4%","52,607","95.5%"
"        Bachelor's degree or higher","39,495","37.1%","19,303","37.5%","20,192","36.7%"
"    Black alone","3,827","(X)","1,897","(X)","1,930","(X)"
"        High school graduate or higher","3,618","94.5%","1,773","93.5%","1,845","95.6%"
"        Bachelor's degree or higher","1,116","29.2%","230","12.1%","886","45.9%"
"    American Indian or Alaska Native alone","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N"
"    Asian alone","2,140","(X)","825","(X)","1,315","(X)"
"        High school graduate or higher","1,874","87.6%","636","77.1%","1,238","94.1%"
"        Bachelor's degree or higher","1,085","50.7%","258","31.3%","827","62.9%"
"    Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N"
"    Some other race alone","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N"
"    Two or more races","N","(X)","N","(X)","N","(X)"
"        High school graduate or higher","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N"
"    Hispanic or Latino Origin","3,523","(X)","1,499","(X)","2,024","(X)"
"        High school graduate or higher","3,347","95.0%","1,388","92.6%","1,959","96.8%"
"        Bachelor's degree or higher","1,174","33.3%","457","30.5%","717","35.4%"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","",""
"    Less than high school graduate","(X)","17.7%","(X)","24.4%","(X)","10.2%"
"    High school graduate (includes equivalency)","(X)","5.7%","(X)","5.2%","(X)","6.4%"
"    Some college or associate's degree","(X)","1.7%","(X)","1.2%","(X)","2.2%"
"    Bachelor's degree or higher","(X)","1.5%","(X)","1.3%","(X)","1.6%"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Population 25 years and over with earnings","57,490","(X)","65,753","(X)","46,553","(X)"
"        Less than high school graduate","25,562","(X)","24,837","(X)","25,805","(X)"
"        High school graduate (includes equivalency)","40,587","(X)","50,710","(X)","27,053","(X)"
"        Some college or associate's degree","50,535","(X)","61,090","(X)","36,421","(X)"
"        Bachelor's degree","76,376","(X)","86,322","(X)","61,876","(X)"
"        Graduate or professional degree","81,558","(X)","91,559","(X)","75,574","(X)"
