ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,"2021","04000US24","Maryland",700,166.00301202086666,0.6445023605575178,"Carroll County, MD","05000US24013","carroll-county-md",53911,36436,707,-0.9900990099009901,62207,-13.336119729290916,0.7744819269110341
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,"2021","04000US24","Maryland",103,83.00602387778854,0.24884063214588623,"Carroll County, MD","05000US24013","carroll-county-md",40750,68739,100,3,75577,-46.08147981528772,0.11395948353119503
1,"Construction (Group)",2,"Construction",2021,"2021","04000US24","Maryland",9265,722.1703400168135,1.5065680127308343,"Carroll County, MD","05000US24013","carroll-county-md",120629,10205,9609,-3.5799771047975852,114379,5.464289773472403,10.250821504043902
2,"Manufacturing (Group)",3,"Manufacturing",2021,"2021","04000US24","Maryland",5802,537.8856755854351,0.6405152770568826,"Carroll County, MD","05000US24013","carroll-county-md",111742,12973,5327,8.916838746010889,109362,2.1762586638869075,6.4193487713397435
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2021,"2021","04000US24","Maryland",2134,386.51778743028115,0.9494786874275926,"Carroll County, MD","05000US24013","carroll-county-md",104173,53956,2151,-0.7903300790330079,102466,1.66591845099838,2.361063474325924
4,"Retail Trade (Group)",5,"Retail Trade",2021,"2021","04000US24","Maryland",9104,678.88879796326,0.9195708459331653,"Carroll County, MD","05000US24013","carroll-county-md",58404,9604,9015,0.9872434830837493,52271,11.733083354058655,10.072690660854363
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2021,"2021","04000US24","Maryland",2468,362.3534186398688,0.5660784740759927,"Carroll County, MD","05000US24013","carroll-county-md",83221,13767,2531,-2.489134729355986,83893,-0.8010203473472162,2.73060199373776
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2021,"2021","04000US24","Maryland",708,182.72657168567466,0.9432309849175274,"Carroll County, MD","05000US24013","carroll-county-md",218366,70034,678,4.424778761061947,160222,36.289648113242876,0.7833331489328745
6,"Information (Group)",8,"Information",2021,"2021","04000US24","Maryland",1555,220.53797858872286,0.8939862962364877,"Carroll County, MD","05000US24013","carroll-county-md",127763,32068,1633,-4.776484996938151,115850,10.28312473025464,1.7204562804952257
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2021,"2021","04000US24","Maryland",5145,470.8003823277972,1.2018440263758672,"Carroll County, MD","05000US24013","carroll-county-md",191071,19998,4822,6.698465367067606,177458,7.671110910750713,5.692442162796101
