"Label (Grouping)","Carroll County, Maryland!!Total!!Estimate","Carroll County, Maryland!!Percent!!Estimate","Carroll County, Maryland!!Male!!Estimate","Carroll County, Maryland!!Percent Male!!Estimate","Carroll County, Maryland!!Female!!Estimate","Carroll County, Maryland!!Percent Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 18 to 24 years","15,098","(X)","7,805","(X)","7,293","(X)"
"        Less than high school graduate","1,352","9.0%","928","11.9%","424","5.8%"
"        High school graduate (includes equivalency)","4,839","32.1%","2,765","35.4%","2,074","28.4%"
"        Some college or associate's degree","6,363","42.1%","3,091","39.6%","3,272","44.9%"
"        Bachelor's degree or higher","2,544","16.8%","1,021","13.1%","1,523","20.9%"
"    Population 25 years and over","120,559","(X)","59,287","(X)","61,272","(X)"
"        Less than 9th grade","2,089","1.7%","1,135","1.9%","954","1.6%"
"        9th to 12th grade, no diploma","4,926","4.1%","2,750","4.6%","2,176","3.6%"
"        High school graduate (includes equivalency)","33,969","28.2%","18,086","30.5%","15,883","25.9%"
"        Some college, no degree","22,611","18.8%","10,925","18.4%","11,686","19.1%"
"        Associate's degree","10,242","8.5%","4,112","6.9%","6,130","10.0%"
"        Bachelor's degree","28,729","23.8%","13,962","23.5%","14,767","24.1%"
"        Graduate or professional degree","17,993","14.9%","8,317","14.0%","9,676","15.8%"
"        High school graduate or higher","113,544","94.2%","55,402","93.4%","58,142","94.9%"
"        Bachelor's degree or higher","46,722","38.8%","22,279","37.6%","24,443","39.9%"
"    Population 25 to 34 years","19,268","(X)","9,853","(X)","9,415","(X)"
"        High school graduate or higher","18,669","96.9%","9,418","95.6%","9,251","98.3%"
"        Bachelor's degree or higher","8,729","45.3%","3,806","38.6%","4,923","52.3%"
"    Population 35 to 44 years","21,168","(X)","10,814","(X)","10,354","(X)"
"        High school graduate or higher","20,084","94.9%","10,157","93.9%","9,927","95.9%"
"        Bachelor's degree or higher","10,499","49.6%","4,588","42.4%","5,911","57.1%"
"    Population 45 to 64 years","50,037","(X)","25,114","(X)","24,923","(X)"
"        High school graduate or higher","47,603","95.1%","23,557","93.8%","24,046","96.5%"
"        Bachelor's degree or higher","19,170","38.3%","9,396","37.4%","9,774","39.2%"
"    Population 65 years and over","30,086","(X)","13,506","(X)","16,580","(X)"
"        High school graduate or higher","27,188","90.4%","12,270","90.8%","14,918","90.0%"
"        Bachelor's degree or higher","8,324","27.7%","4,489","33.2%","3,835","23.1%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","",""
"    White alone","108,821","(X)","53,257","(X)","55,564","(X)"
"        High school graduate or higher","103,201","94.8%","50,276","94.4%","52,925","95.3%"
